爵床科||Acanthaceae||白接骨属||Asystasia||白接骨||Asystasia neesiana
伞形科||Apiaceae||滇芎属||Physospermopsis||小滇芎||Physospermopsis kingdon-wardii
伞形科||Apiaceae||小芹属||Sinocarum||紫茎小芹||Sinocarum coloratum
伞形科||Apiaceae||小芹属||Sinocarum||钝瓣小芹||Sinocarum cruciatum
伞形科||Apiaceae||小芹属||Sinocarum||长柄小芹||Sinocarum dolichopodum
伞形科||Apiaceae||小芹属||Sinocarum||少辐小芹||Sinocarum pauciradiatum
伞形科||Apiaceae||舟瓣芹属||Sinolimprichtia||舟瓣芹||Sinolimprichtia alpina
伞形科||Apiaceae||舟瓣芹属||Sinolimprichtia||裂苞舟瓣芹||Sinolimprichtia alpina var. dissecta
伞形科||Apiaceae||窃衣属||Torilis||小窃衣||Torilis japonica
伞形科||Apiaceae||瘤果芹属||Trachydium||瘤果芹||Trachydium roylei
伞形科||Apiaceae||瘤果芹属||Trachydium||密瘤瘤果芹||Trachydium subnudum
伞形科||Apiaceae||凹乳芹属||Vicatia||西藏凹乳芹||Vicatia thibetica
夹竹桃科||Apocynaceae||鸡骨常山属||Alstonia||羊角棉||Alstonia mairei
夹竹桃科||Apocynaceae||鸡骨常山属||Alstonia||鸡骨常山||Alstonia yunnanensis
夹竹桃科||Apocynaceae||假虎刺属||Carissa||假虎刺||Carissa spinarum
夹竹桃科||Apocynaceae||黄花夹竹桃属||Thevetia||黄花夹竹桃||Thevetia peruviana
夹竹桃科||Apocynaceae||蔓长春花属||Vinca||蔓长春花||Vinca major
冬青科||Aquifoliaceae||冬青属||Ilex||长叶枸骨||Ilex georgei
冬青科||Aquifoliaceae||冬青属||Ilex||木姜冬青||Ilex litseaefolia
冬青科||Aquifoliaceae||冬青属||Ilex||长尾冬青||Ilex longecaudata
冬青科||Aquifoliaceae||冬青属||Ilex||毛冬青||Ilex pubescens
天南星科||Araceae||海芋属||Alocasia||热亚海芋||Alocasia macrorrhizos
天南星科||Araceae||海芋属||Alocasia||海芋||Alocasia odora
天南星科||Araceae||天南星属||Arisaema||长耳南星||Arisaema auriculatum
天南星科||Araceae||天南星属||Arisaema||滇南南星||Arisaema austroyunnanense
天南星科||Araceae||天南星属||Arisaema||金江南星||Arisaema calcareum（A.jinshajiangense）
天南星科||Araceae||天南星属||Arisaema||白苞南星||Arisaema candidissimum
天南星科||Araceae||天南星属||Arisaema||拟刺棒南星||Arisaema echinoides
天南星科||Araceae||天南星属||Arisaema||象南星||Arisaema elephas
天南星科||Araceae||天南星属||Arisaema||一把伞南星||Arisaema erubescens
天南星科||Araceae||天南星属||Arisaema||象头花||Arisaema franchetianum
天南星科||Araceae||天南星属||Arisaema||李恒南星||Arisaema lihengianum
天南星科||Araceae||天南星属||Arisaema||片马南星||Arisaema pianmaense
天南星科||Araceae||天南星属||Arisaema||屏边南星||Arisaema pingbianense
天南星科||Araceae||天南星属||Arisaema||河谷南星||Arisaema prazeri
天南星科||Araceae||天南星属||Arisaema||马尾南星||Arisaema victoriae
天南星科||Araceae||天南星属||Arisaema||山珠南星||Arisaema yunnanense
天南星科||Araceae||芋属||Colocasia||芋||Colocasia esculenta
天南星科||Araceae||芋属||Colocasia||大野芋||Colocasia gigantea
天南星科||Araceae||隐棒花属||Cryptocoryne||八仙过海||Cryptocoryne crispatula var. yunnanensis
天南星科||Araceae||半夏属||Pinellia||滴水珠||Pinellia cordata
天南星科||Araceae||半夏属||Pinellia||半夏||Pinellia ternata
天南星科||Araceae||大薸属||Pistia||大薸||Pistia stratiotes
五加科||Araliaceae||树参属||Dendropanax||云南树参||Dendropanax yunnanensis
五加科||Araliaceae||五加属||Eleutherococcus||狭叶藤五加||Eleutherococcus leucorrhizus var. scaberulus
五加科||Araliaceae||刺通草属||Trevesia||刺通草||Trevesia palmata
马兜铃科||Aristolochiaceae||细辛属||Asarum||短尾细辛||Asarum caudigerellum
马兜铃科||Aristolochiaceae||细辛属||Asarum||福建细辛||Asarum fukienense
马兜铃科||Aristolochiaceae||马蹄香属||Saruma||马蹄香||Saruma henryi

萝藦科||Asclepiadaceae||牛角瓜属||Calotropis||牛角瓜||Calotropis gigantea
萝藦科||Asclepiadaceae||吊灯花属||Ceropegia||白马吊灯花||Ceropegia monticola
萝藦科||Asclepiadaceae||白叶藤属||Cryptolepis||古钩藤||Cryptolepis buchananii
萝藦科||Asclepiadaceae||鹅绒藤属||Cynanchum||刺瓜||Cynanchum corymbosum
萝藦科||Asclepiadaceae||翅果藤属||Myriopteron||翅果藤||Myriopteron extensum

天门冬科||Asparagaceae||黄精属||Polygonatum||多花黄精||Polygonatum cyrtonema
天门冬科||Asparagaceae||黄精属||Polygonatum||长梗黄精||Polygonatum filipes
天门冬科||Asparagaceae||黄精属||Polygonatum||独花黄精||Polygonatum hookeri

铁角蕨科||Aspleniaceae||铁角蕨属||Asplenium||撕裂铁角蕨||Asplenium gueinzianum
铁角蕨科||Aspleniaceae||铁角蕨属||Asplenium||胎生铁角蕨||Asplenium yoshinagae var. indicum
铁角蕨科||Aspleniaceae||膜叶铁角蕨属||Hymenasplenium||阴湿膜叶铁角蕨||Hymenasplenium obliquissimum

菊科||Asteraceae||刺苞果属||Acanthospermum||刺苞果||Acanthospermum hispidum
菊科||Asteraceae||金钮扣属||Acmella||美形金钮扣||Acmella calva
菊科||Asteraceae||金钮扣属||Acmella||金钮扣||Acmella paniculata
菊科||Asteraceae||和尚菜属||Adenocaulon||和尚菜||Adenocaulon himalaicum
菊科||Asteraceae||下田菊属||Adenostemma||下田菊||Adenostemma lavenia
菊科||Asteraceae||藿香蓟属||Ageratum||藿香蓟||Ageratum conyzoides
菊科||Asteraceae||藿香蓟属||Ageratum||熊耳草||Ageratum houstonianum
菊科||Asteraceae||兔儿风属||Ainsliaea||光叶兔儿风||Ainsliaea glabra
菊科||Asteraceae||兔儿风属||Ainsliaea||大头兔儿风||Ainsliaea macrocephala
菊科||Asteraceae||紫茎泽兰属||Ageratina||紫茎泽兰||Ageratina adenophora
菊科||Asteraceae||亚菊属||Ajania||短裂亚菊||Ajania breviloba
菊科||Asteraceae||亚菊属||Ajania||铺散亚菊||Ajania khartensis
菊科||Asteraceae||亚菊属||Ajania||细裂亚菊||Ajania przewalskii
菊科||Asteraceae||亚菊属||Ajania||柳叶亚菊||Ajania salicifolia
菊科||Asteraceae||亚菊属||Ajania||细叶亚菊||Ajania tenuifolia
菊科||Asteraceae||亚菊属||Ajania||西藏亚菊||Ajania tibetica
菊科||Asteraceae||香青属||Anaphalis||黑鳞黄腺香青||Anaphalis aureopunctata var. atrata
菊科||Asteraceae||香青属||Anaphalis||二色香青||Anaphalis bicolor
菊科||Asteraceae||香青属||Anaphalis||蛛毛香青||Anaphalis busua
菊科||Asteraceae||香青属||Anaphalis||灰毛香青||Anaphalis cinerascens
菊科||Asteraceae||香青属||Anaphalis||密聚灰毛香青||Anaphalis cinerascens var. congesta
菊科||Asteraceae||香青属||Anaphalis||淡黄香青||Anaphalis flavescens
菊科||Asteraceae||香青属||Anaphalis||尼泊尔香青||Anaphalis nepalensis
菊科||Asteraceae||香青属||Anaphalis||单头尼泊尔香青||Anaphalis nepalensis var. monocephala
菊科||Asteraceae||香青属||Anaphalis||污毛香青||Anaphalis pannosa
菊科||Asteraceae||香青属||Anaphalis||紫苞香青||Anaphalis porphyrolepis
菊科||Asteraceae||香青属||Anaphalis||红指香青||Anaphalis rhododactyla
菊科||Asteraceae||香青属||Anaphalis||四川香青||Anaphalis szechuanensis
菊科||Asteraceae||香青属||Anaphalis||绿香青||Anaphalis viridis
菊科||Asteraceae||香青属||Anaphalis||无茎绿香青||Anaphalis viridis var. acaulis
菊科||Asteraceae||牛蒡属||Arctium||牛蒡||Arctium lappa
菊科||Asteraceae||蒿属||Artemisia||高山矮蒿||Artemisia comaiensis
菊科||Asteraceae||蒿属||Artemisia||二郎山蒿||Artemisia erlangshanensis
菊科||Asteraceae||蒿属||Artemisia||臭蒿||Artemisia hedinii
菊科||Asteraceae||蒿属||Artemisia||牡蒿||Artemisia japonica
菊科||Asteraceae||蒿属||Artemisia||白苞蒿||Artemisia lactiflora
菊科||Asteraceae||蒿属||Artemisia||大籽蒿||Artemisia sieversiana
菊科||Asteraceae||蒿属||Artemisia||毛莲蒿||Artemisia vestita
菊科||Asteraceae||紫菀属||Aster||小舌紫菀||Aster albescens
菊科||Asteraceae||紫菀属||Aster||巴塘紫菀||Aster batangensis
菊科||Asteraceae||紫菀属||Aster||线舌紫菀||Aster bietii
菊科||Asteraceae||紫菀属||Aster||短毛紫薇||Aster brachytrichus
菊科||Asteraceae||紫菀属||Aster||萎软紫菀||Aster flaccidus
菊科||Asteraceae||紫菀属||Aster||须弥紫菀||Aster himalaicus
菊科||Asteraceae||紫菀属||Aster||圆齿狗娃花||Aster crenatifolius
菊科||Asteraceae||紫菀属||Aster||马兰||Aster indicus
菊科||Asteraceae||紫菀属||Aster||棉毛紫菀||Aster lanuginosus
菊科||Asteraceae||紫菀属||Aster||线叶紫菀||Aster lavandulifolius
菊科||Asteraceae||紫菀属||Aster||丽江紫菀||Aster likiangensis
菊科||Asteraceae||紫菀属||Aster||石生紫菀||Aster oreophilus
菊科||Asteraceae||紫菀属||Aster||灰枝紫菀||Aster poliothamnus
菊科||Asteraceae||紫菀属||Aster||厚棉紫菀||Aster prainii
菊科||Asteraceae||紫菀属||Aster||怒江紫菀||Aster salwinensis
菊科||Asteraceae||紫菀属||Aster||察瓦龙紫菀||Aster tsarungensis
菊科||Asteraceae||紫菀属||Aster||秋分草||Aster verticillatus
菊科||Asteraceae||紫菀属||Aster||云南紫菀||Aster yunnanensis
菊科||Asteraceae||云木香属||Aucklandia||云木香||Aucklandia costus
菊科||Asteraceae||鬼针草属||Bidens||婆婆针||Bidens bipinnata
菊科||Asteraceae||鬼针草属||Bidens||柳叶鬼针草||Bidens tripartita
菊科||Asteraceae||金腰箭舅属||Calyptocarpus||金腰箭舅||Calyptocarpus vialis
菊科||Asteraceae||凋缨菊属||Camchaya||凋缨菊||Camchaya loloana
菊科||Asteraceae||飞廉属||Carduus||丝毛飞廉||Carduus crispus
菊科||Asteraceae||天名精属||Carpesium||天名精||Carpesium abrotanoides
菊科||Asteraceae||天名精属||Carpesium||烟管头草||Carpesium cernuum
菊科||Asteraceae||天名精属||Carpesium||高原天名精||Carpesium lipskyi
菊科||Asteraceae||天名精属||Carpesium||暗花金挖耳||Carpesium triste
菊科||Asteraceae||葶菊属||Cavea||葶菊||Cavea tanguensis
菊科||Asteraceae||飞机草属||Chromolaena||飞机草||Chromolaena odorata
菊科||Asteraceae||岩参属||Cicerbita||大理岩参||Cicerbita oligolepis
菊科||Asteraceae||菊苣属||Cichorium||菊苣||Cichorium intybus
菊科||Asteraceae||蓟属||Cirsium||贡山蓟||Cirsium eriophoroides
菊科||Asteraceae||蓟属||Cirsium||魁蓟||Cirsium leo
菊科||Asteraceae||蓟属||Cirsium||丽江蓟||Cirsium lidjiangense
菊科||Asteraceae||白酒草属||Conyza||香丝草||Conyza bonariensis
菊科||Asteraceae||野茼蒿属||Crassocephalu||||野茼蒿||Crassocephalum crepidioides
菊科||Asteraceae||垂头菊属||Cremanthodium||短毛钟花垂头菊||Cremanthodium campanulatum var. brachytrichum
菊科||Asteraceae||垂头菊属||Cremanthodium||黄苞钟花垂头菊||Cremanthodium campanulatum var. flavidum
菊科||Asteraceae||垂头菊属||Cremanthodium||喜马拉雅垂头菊||Cremanthodium decaisnei
菊科||Asteraceae||垂头菊属||Cremanthodium||柴胡叶垂头菊||Cremanthodium bupleurifolium
菊科||Asteraceae||垂头菊属||Cremanthodium||仙客来垂头菊||Cremanthodium cyclaminanthum
菊科||Asteraceae||垂头菊属||Cremanthodium||车前状垂头菊||Cremanthodium ellisii
菊科||Asteraceae||垂头菊属||Cremanthodium||珠芽垂头菊||Cremanthodium bulbilliferum
菊科||Asteraceae||垂头菊属||Cremanthodium||钟花垂头菊||Cremanthodium campanulatum
菊科||Asteraceae||垂头菊属||Cremanthodium||稻城垂头菊||Cremanthodium daochengense
菊科||Asteraceae||垂头菊属||Cremanthodium||盘花垂头菊||Cremanthodium discoideum
菊科||Asteraceae||垂头菊属||Cremanthodium||红花垂头菊||Cremanthodium farreri
菊科||Asteraceae||垂头菊属||Cremanthodium||矢叶垂头菊||Cremanthodium forrestii
菊科||Asteraceae||垂头菊属||Cremanthodium||灰绿垂头菊||Cremanthodium glaucum
菊科||Asteraceae||垂头菊属||Cremanthodium||向日垂头菊||Cremanthodium helianthus
菊科||Asteraceae||垂头菊属||Cremanthodium||条裂垂头菊||Cremanthodium laciniatum
菊科||Asteraceae||垂头菊属||Cremanthodium||小舌垂头菊||Cremanthodium microglossum
菊科||Asteraceae||垂头菊属||Cremanthodium||壮观垂头菊||Cremanthodium nobile
菊科||Asteraceae||垂头菊属||Cremanthodium||裂叶垂头菊||Cremanthodium pinnatisectum
菊科||Asteraceae||垂头菊属||Cremanthodium||戟叶垂头菊||Cremanthodium potaninii
菊科||Asteraceae||垂头菊属||Cremanthodium||方叶垂头菊||Cremanthodium principis
菊科||Asteraceae||垂头菊属||Cremanthodium||毛叶垂头菊||Cremanthodium puberulum
菊科||Asteraceae||垂头菊属||Cremanthodium||美丽垂头菊||Cremanthodium pulchrum
菊科||Asteraceae||垂头菊属||Cremanthodium||长柱垂头菊||Cremanthodium rhodocephalum
菊科||Asteraceae||垂头菊属||Cremanthodium||箭叶垂头菊||Cremanthodium sagittifolium
菊科||Asteraceae||垂头菊属||Cremanthodium||紫茎垂头菊||Cremanthodium smithianum
菊科||Asteraceae||垂头菊属||Cremanthodium||狭舌垂头菊||Cremanthodium stenoglossum
菊科||Asteraceae||垂头菊属||Cremanthodium||叉舌垂头菊||Cremanthodium thomsonii
菊科||Asteraceae||垂头菊属||Cremanthodium||变叶垂头菊||Cremanthodium variifolium
菊科||Asteraceae||垂头菊属||Cremanthodium||矮垂头菊||Cremanthodium humile
菊科||Asteraceae||鱼眼草属||Dichrocephala||小鱼眼草||Dichrocephala benthamii
菊科||Asteraceae||垂头菊属||Cremanthodium||小垂头菊||Cremanthodium nanum
菊科||Asteraceae||垂头菊属||Cremanthodium||垂头菊||Cremanthodium reniforme
菊科||Asteraceae||鱼眼草属||Dichrocephala||鱼眼草||Dichrocephala integrifolia
菊科||Asteraceae||川木香属||Dolomiaea||灰毛川木香||Dolomiaea souliei var. mirabilis
菊科||Asteraceae||川木香属||Doronicum||西藏多榔菊||Doronicum thibetanum
菊科||Asteraceae||厚喙菊属||Dubyaea||察隅厚喙菊||Dubyaea tsarongensis
菊科||Asteraceae||羊耳菊属||Duhaldea||羊耳菊||Duhaldea cappa
